X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23
1514,30177,-10,1,26,-5,-4,0,1890,33490,31927,31886,2,3835,-2,2,-3,28439,51533,3097,1896,22,35014
0,0,-16,2,51,-29,-16,0,0,0,0,0,1,0,-12,1,-23,0,296630,0,0,-2,0
0,2945,-16,1,39,-23,-13,1216,2997,2675,14,-13,1,2470,-10,1,-19,1271,306063,0,0,2,-4
1064,51869,-19,1,36,-17,-10,1900,2176,30815,49147,54338,3,1039,-8,1,-15,47381,53052,1916,1134,6,30258
1506,54456,-19,2,23,-17,-10,2009,1744,53609,46279,46509,2,1776,-8,1,-15,50334,47970,1820,1624,6,45063
16741,511,-25,2,35,-29,-16,1222,484,1322,1668,718,2,1138,-12,2,-23,1241,280392,698,4964,-2,4840
500,17570,-22,1,29,-17,-10,17538,2822,14586,2101,14385,1,986,-8,2,-19,17669,82704,2133,2024,6,12612
999,47151,-19,2,25,-17,-10,1790,1801,32249,61733,36674,2,997,-8,2,-15,59628,280399,1488,1011,6,23559
2744,67182,-19,1,47,-17,-10,4233,2432,4554,98996,40361,3,659,-8,2,-15,100744,98007,1673,81046,6,81568
572,70819,-19,1,46,-17,-10,16954,9800,69887,50478,70344,1,360,-8,1,-15,68055,560177,4,1672,2,1791
0,0,-19,1,23,-29,-16,0,0,0,41839,0,2,0,-12,2,-15,0,31419,0,0,-2,0
1000,9967,-16,1,41,-5,-4,1902,590,11028,8284,12835,2,0,-2,2,-7,10051,18766,1920,0,14,11331
0,530,-25,1,46,-29,-16,0,514,0,0,0,1,0,-12,1,-23,0,241061,0,0,-2,0
415,26320,-19,1,54,-17,-10,2486,1566,8810,47101,9706,3,1335,-8,1,-15,51629,48141,316,347,6,8639
15213,274678,-19,2,32,-17,-10,11858,39103,302777,251927,273537,1,10837,-8,2,-15,247312,454899,14859,31528,6,299646
327,17729,-22,1,32,-17,-13,0,16950,421,2645,18542,2,0,-8,2,-19,0,46994,349,16456,2,15974
2886,52731,-19,1,26,-17,-10,55184,1921,53921,17005,49759,2,4495,-8,2,-15,61856,65830,1957,4781,6,62513
3379,89904,-19,2,26,-17,-10,2915,3060,89028,82101,87313,1,3059,-8,2,-15,74614,120323,2843,3603,6,90872
5772,173803,-25,2,33,-29,-16,6238,6624,182497,197453,190519,2,8262,-12,1,-23,180149,215932,7227,159912,2,153534
1414,9567,-22,2,22,-23,-13,965,10115,19993,13603,5371,2,19120,-10,2,-15,2840,127476,5380,2833,2,2977
5115,2902,-25,1,31,-29,-16,6216,3083,1917,8997,6053,2,1858,-12,1,-23,7049,147876,6859,1635,2,1494
146,121,-22,1,38,-23,-13,0,132,118,468,207,1,120,-10,1,-7,115,210370,189,285,2,290
0,-21,-25,1,34,-29,-16,0,0,-20,-22,-21,1,0,-12,1,-23,-22,157613,0,0,-2,-22
2916,60389,-19,1,29,-17,-10,64360,2843,40145,14209,57709,2,1868,-8,2,-15,67718,80732,3013,2092,6,32696
1662,79954,-19,1,38,-17,-10,13207,4922,66269,80148,73991,1,1869,-8,1,-15,83361,379899,2117,1936,6,58867
27471,81075,-19,2,27,-17,-10,19674,20766,24619,60390,13132,2,22395,-10,2,-15,71697,362368,6202,59209,6,72610
3061,26304,-22,2,43,-23,-13,0,28158,1890,4057,1600,1,2137,-10,1,-7,2630,353460,1451,3646,2,3436
2407,60059,-19,1,40,-17,-10,2780,2253,58769,62634,59879,3,1944,-8,1,-15,62420,63685,2274,2222,6,60107
2212,14145,-19,1,23,-17,-10,2270,1951,13202,18224,13442,2,1091,-8,2,-15,17101,18291,991,2911,6,18397
0,8007,-19,1,22,-17,-10,1213,1111,9451,7570,9138,2,1207,-8,2,-15,8291,10046,1046,741,6,9230
1632,62667,-19,2,34,-17,-10,3571,3198,49564,68580,54473,3,1629,-8,2,-15,60858,430260,2340,1873,6,47526
0,91175,-19,2,43,-17,-10,4983,7176,89884,143406,103831,2,979,-8,1,-15,105683,287950,3783,4896,6,91890
111303,13343,-19,2,34,-23,-13,13463,12552,0,12321,0,2,0,-12,2,-19,13784,212091,0,0,-2,0
6067,1209,-22,1,45,-23,-13,2315,1278,1292,286,3235,2,1322,-10,2,-19,2165,193547,3914,3149,2,3472
998,55079,-19,1,33,-17,-10,3227,2898,-631,55540,57712,2,0,-8,2,-15,58765,60654,3192,17316,2,14569
1535,90734,-16,2,34,-17,-10,0,3808,49665,124247,65980,1,2245,-8,2,-7,107986,191258,3102,1591,6,49587
921,32760,-19,2,48,-17,-10,1229,1340,17843,16060,19430,1,711,-8,2,-15,16080,21916,2646,730,6,18635
4827,36035,-19,1,31,-17,-10,5249,5076,2355,57156,61778,2,3108,-10,2,-15,53079,56946,27478,5991,6,6924
1354,39439,-19,1,25,-17,-10,2071,1543,29883,41460,31851,2,1139,-8,2,-15,37364,61297,2001,3146,6,31123
0,4628,-25,1,27,-29,-16,2553,4557,457,2107,24362,2,502,-12,2,-23,2805,292092,24091,2901,-2,3079
411,14114,-19,2,21,-17,-10,1714,1555,12589,14620,13247,3,0,-8,2,-15,13923,19412,0,1049,6,11531
11343,3320,-22,1,34,-23,-13,8396,3437,24090,5415,12614,3,22384,-10,1,-19,8367,200671,12831,190,6,7554
1996,49091,-19,2,39,-17,-10,2068,1969,38194,47384,42468,2,1974,-8,1,-15,42627,75001,2021,2119,6,43019
4761,118951,-19,2,28,-17,-10,4818,6200,126868,128632,124625,2,4239,-8,1,-15,124026,203130,6674,4717,6,128211
0,0,-16,2,40,-29,-16,0,0,275,0,0,2,283,-10,1,-23,0,309137,0,0,2,0
6245,162244,-19,2,48,-17,-10,7945,7805,149530,169414,169247,1,5618,-8,2,-15,170679,235305,5416,6057,6,176823
644,18708,-16,2,32,-17,-10,0,1411,19139,33625,18608,2,693,-8,1,-7,31619,46853,678,680,6,18838
0,14401,-19,1,31,-17,-13,1023,17000,11710,4630,14673,2,1006,-8,2,-15,4582,19019,593,546,6,9606
0,2378,-10,1,38,25,-4,0,0,2384,2369,2437,2,0,6,2,-7,2160,30412,0,0,34,2534
2540,102408,-13,2,30,-5,-4,7202,3733,101638,104502,104949,2,2993,-4,1,-7,106232,160622,4719,4814,14,115032
1572,2877,-22,2,38,-23,-13,704,2849,5025,3817,9240,1,23,-8,1,-19,672,345904,9302,4995,6,4963
1037,43765,-19,2,30,-17,-10,2085,1914,27924,46306,29159,1,2878,-8,2,-15,44791,104141,3057,2989,6,18158
4976,137624,-19,2,23,-17,-10,4988,4872,123289,137835,137896,3,4201,-8,2,-15,142562,158250,4631,5258,6,126936
0,0,-25,1,40,-29,-16,1039,0,1803,2969,0,2,2010,-12,1,-23,1001,75316,0,4277,2,4500
2192,74482,-19,2,33,-17,-10,3180,3198,61266,92583,74304,2,1998,-8,2,-15,85501,85703,2926,2077,6,52692
0,4180,-22,1,44,-23,-13,4941,4108,896,1478,6784,2,953,-10,1,-19,4995,323185,6600,23,2,-22
2153,30320,-19,2,29,-17,-10,2062,2006,35552,31128,32689,2,5250,-8,1,-15,30589,216560,1123,5156,6,37222
1473,45542,-19,1,29,-17,-10,3599,2252,12850,49440,17857,2,1516,-8,2,-15,47447,43638,985,1011,6,10775
12,27988,-19,1,49,-5,-10,2081,2093,16876,31935,23015,2,543,-8,1,-15,31120,97703,9,1166,6,16748
1493,35064,-19,2,46,-17,-10,1563,1793,38507,35305,40642,2,1386,-8,1,-15,37328,110338,1557,1249,6,38920
0,0,-16,1,24,-29,-16,0,0,0,0,0,1,0,-12,2,-23,0,128417,0,0,-2,0
9976,12740,-19,1,28,-17,-13,7272,11862,12509,19245,12928,2,754,-8,2,-15,21947,346712,3535,5734,6,15056
0,3145,-22,2,53,-5,-4,3384,0,0,179,0,2,0,-12,1,-19,3435,229715,0,0,-2,0
946,10725,-16,1,40,-17,-10,996,1409,11274,8272,10415,2,973,-8,1,-7,8918,20453,1278,0,14,11687
6900,329662,-19,1,51,-17,-10,12270,13971,307846,382613,363082,3,12218,-8,1,-15,305710,419171,13448,8383,6,193777
0,6209,-16,2,39,-17,-10,0,2004,8318,5125,8479,1,227,-8,2,-7,4461,384345,1956,0,6,0
0,6107,-22,2,36,-23,-13,74602,6164,1741,6557,168,1,1664,-10,2,-19,70910,240030,164,2,6,395
1396,38954,-19,2,25,-17,-10,2005,1971,41110,33673,39821,2,2179,-8,2,-15,37488,62026,2127,1441,6,39423
645,26012,-19,2,29,-17,-10,2548,1681,18178,121893,18036,1,774,-4,2,-15,47760,148665,2274,0,14,18455
2536,50772,-19,1,31,-17,-10,2231,1776,48958,50251,45899,1,2207,-8,2,-15,45895,48522,1899,1953,6,44833
3137,78224,-19,2,26,-17,-10,4676,3620,80893,82618,76507,1,2654,-8,2,-15,81844,76987,2886,3038,6,83103
0,16098,-19,1,35,-17,-10,1527,1267,16095,16302,19071,2,369,-8,2,-15,17911,20385,357,331,6,17847
99,27329,-19,1,27,-17,-10,1592,3224,2868,49232,3825,1,2768,-10,2,-15,34592,43390,492,914,2,607
1027,-201,-19,2,24,-23,-10,5867,266,27599,10166,25611,1,1947,-8,2,-15,13016,29227,24921,988,6,26028
1889,1058,-19,2,35,-23,-13,1104,1244,2902,8477,2894,2,2157,-8,1,-15,5030,79378,2617,2013,6,3858
0,10095,-16,1,44,-5,-4,1008,932,13203,9519,13841,1,0,-4,1,-7,8899,219571,2992,1117,14,14144
344,58894,-13,2,46,-17,-10,0,1937,37953,522282,55103,3,1183,-8,1,-7,455506,274351,1508,501,6,17446
5189,42916,-19,1,37,-17,-10,1881,2172,43840,40224,45429,1,2080,-8,1,-15,42232,134773,2119,1904,6,44804
3261,55336,-19,2,28,-17,-10,5539,3159,47529,61387,56662,3,5146,-8,1,-15,61421,125871,9947,5020,6,52415
0,0,-19,2,30,-29,-16,0,0,0,6547,0,1,0,-12,1,-15,0,164368,0,0,-2,0
0,131789,-19,1,29,-17,-10,6069,4198,-1035,117718,125150,1,889,-8,2,-15,113424,183499,2379,0,-2,-936
1095,20947,-19,1,42,-17,-10,2645,1706,17920,48230,18233,2,989,-8,2,-15,42205,47714,1167,997,6,18511
726,38976,-22,1,58,-17,-13,1880,36912,20582,8661,22803,2,9289,-8,1,-15,5477,45268,9638,672,6,18280
4983,90426,-19,1,25,-17,-10,4156,5342,86966,82754,90326,1,3081,-8,2,-15,90339,161566,3339,3754,6,80335
2853,68631,-19,2,36,-17,-10,3102,2951,76624,60046,69132,2,2747,-8,1,-15,66325,219228,2708,2793,6,73842
0,0,-22,2,41,-29,-16,0,0,0,3229,0,2,0,-12,1,-19,0,229008,0,0,-2,0
8739,241470,-19,2,34,-17,-10,9443,8597,220789,257601,243827,1,13879,-8,1,-15,258426,469890,8530,6257,6,194494
7728,187043,-19,1,35,-17,-10,69396,5941,168185,145298,176403,2,6041,-8,1,-15,185690,188020,5715,6548,6,183228
372,2287,-19,1,22,-17,-10,917,943,1413,6625,1973,3,1436,-10,2,-15,5341,50228,37,1113,2,1013
1622,45378,-19,2,32,-5,-10,1842,2625,44793,39551,41386,1,1951,-4,2,-15,43980,131190,3079,0,14,41960
0,-562,-25,2,34,-29,-16,0,4,-1326,-516,-1293,1,0,-12,2,-23,-552,301952,0,0,-2,-1294
15340,398902,-19,2,40,-17,-10,32773,14726,381290,363567,356296,2,12257,-8,1,-15,401284,412625,13626,11050,6,351714
0,1111,-13,1,26,1,-1,0,0,1032,926,1144,2,0,-2,2,-7,979,52959,0,0,18,1078
5139,3197,-25,2,33,-29,-16,0,7274,3661,3700,3147,1,3937,-12,1,-23,0,418992,2912,4810,-2,5024
3210,48809,-19,1,51,-17,-10,5294,2004,25419,89902,27363,1,1018,-8,2,-15,78894,89064,2954,2969,6,30349
1041,6618,-22,2,27,-23,-13,6955,6370,11424,6323,6763,1,12726,-10,1,-19,6815,197561,7501,7753,6,12468
9442,40081,-19,2,38,-17,-10,2057,2537,38003,92819,38530,2,1464,-8,1,-15,34315,514737,2625,1402,6,40413
8354,259556,-19,2,34,-17,-10,9768,9114,256084,274675,231920,2,9198,-8,2,-15,236545,348497,9178,9801,6,239886
1310,9448,-22,2,44,-23,-13,68273,9800,44920,24048,1922,2,37931,-10,1,-19,68852,96813,1898,2861,6,40468
0,7819,-22,2,41,-23,-13,0,7684,2749,16357,3235,2,2910,-10,1,-19,0,155038,3336,0,2,0
0,75677,-19,2,28,-17,-10,3398,3640,41955,94966,38618,2,2012,-8,2,-15,79780,160675,1679,0,6,0
1753,49847,-16,1,24,-17,-10,0,3377,8585,51194,51518,2,32402,-10,2,-7,51760,49150,3149,690,6,8882
111,8918,-22,1,35,-5,-13,0,9217,79130,43957,2770,1,88976,-10,2,-7,6618,451659,19,0,2,0
14641,75596,-19,2,24,-17,-10,3146,2975,9180,86620,27636,5,189,-8,2,-15,83030,86555,923,201,6,9915
831,47649,-19,2,29,-17,-10,27897,2097,29307,35940,29339,2,1042,-8,1,-15,54051,47671,1020,1127,6,28352
6642,90207,-13,2,39,-17,-10,0,3310,90653,86219,82964,2,3112,-8,1,-7,92553,93049,3626,3537,6,89941
0,0,-25,2,28,-23,-13,955,0,163,418,169,1,0,-8,2,-19,957,112769,173,0,6,0
188,2393,-25,2,29,-29,-16,11447,2637,0,2635,2006,2,0,-12,2,-23,11938,418148,2337,2316,-2,2697
1266,1304,-25,2,34,-29,-16,0,1293,0,1995,0,1,0,-12,2,-23,0,144157,0,2107,-2,1776
1067,68418,-1,2,30,1,2,0,0,66078,68866,62498,2,0,-4,2,5,65590,199267,2192,1886,6,55020
549,20890,-19,2,32,-17,-10,1344,1192,18257,19670,18876,2,653,-8,1,-15,18623,20969,1258,1144,6,17956
0,0,-16,1,36,-29,-16,0,0,0,0,0,2,0,-12,2,-23,0,212270,0,0,-2,0
0,-1454,-25,2,41,-29,-16,76,1392,-1511,0,-1435,5,0,-12,1,-23,75,119137,0,0,-2,-1329
0,13338,-13,2,23,-17,-10,1587,1295,14437,12604,14408,2,539,-8,2,-15,13558,19182,529,3658,6,18195
2853,99840,-19,2,27,-17,-10,5008,5715,96187,120875,96377,1,4103,-8,2,-15,108875,279549,4085,3956,6,88396
567,61708,-19,2,25,-23,-10,127777,1348,318,41902,544,2,300,-10,2,-19,124141,315094,540,2397,2,2303
570,16668,-16,1,30,-17,-10,0,1370,19290,16896,18943,2,0,-4,2,-7,15268,49226,2099,725,6,19081
715,0,-22,1,30,-23,-13,31766,0,147,462,922,2,153,-10,2,-19,27633,177668,935,436,2,406
1,14,-13,2,37,-23,-13,1023,16,625,2368,931,2,0,-8,1,-15,2536,246184,1610,414,6,665
2011,24656,-19,1,26,-17,-10,1511,3071,29373,22229,29987,2,1125,-4,2,-15,21343,64599,2129,1090,6,29106
9139,2538,-22,2,26,-23,-4,4961,0,7370,1038,3914,2,7400,-10,2,-19,4945,120801,4108,2933,2,2902
6930,189066,-19,2,31,-17,-13,0,188108,170992,116027,181791,2,4817,-8,2,-15,0,190367,8140,5032,6,146985
581,40077,-19,1,26,-17,-10,1691,2806,16767,48611,16515,2,545,-8,2,-15,50155,52181,1284,633,6,17117
513,23770,-19,1,32,-17,-10,1572,1191,19065,25252,21447,2,602,-8,2,-15,26062,235978,603,631,6,20432
2131,49660,-19,2,29,-17,-10,2824,3257,42897,109619,46393,2,1558,-8,1,-15,108750,232475,2154,1568,6,38684
3456,138102,-19,1,53,-17,-10,7246,5272,112445,186662,120735,3,3824,-8,1,-15,198172,242320,4046,4084,6,110730
6631,20609,-19,2,24,-17,-10,3305,5262,30804,56623,24940,1,5594,-8,2,-15,15983,89052,5284,6318,6,37471
3871,132171,-13,2,25,-17,-10,5725,5366,96532,132249,118782,2,3458,-8,2,-15,115046,122893,5068,3655,6,95234
450,9252,-19,2,22,-5,-10,1316,1646,9295,6721,8492,1,973,-4,2,-15,7981,9574,0,0,14,10207
